agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,1,1,0,100.0,20.19,0,176,31.84,33.48184808830469,5097.29,1,0,83,0,0,0,5000,8029,0.27,1,31,213.33,38.72,48.0,-0.02,2.13,0.11,1.68,1.0,1.87,3.55,-1.0,0.66,1.46,4.11,108.45,-0.06,21.97,47,3,8412927684506142269,0,0.0,49,8
0,0,0,0,100.0,19.73,0,179,31.69,37.261856986162314,5193.29,1,0,82,0,0,0,5000,8020,0.268,1,32,217.33,38.92,0,0.0,0.0,0.1,1.67,1.0,1.86,3.6,-1.0,0.65,1.0,4.06,108.19,-0.08,20.97,48,3,8412927684506142269,0,0.0,50,3
0,1,1,0,100.0,18.98,0,180,30.36,59.267165808981936,5123.2,1,0,81,0,0,0,5000,8012,0.272,1,32,221.33,38.88,50.0,-0.02,2.08,0.12,1.62,1.0,1.88,3.58,-1.0,0.64,1.06,4.12,106.73,-0.12,19.97,48,3,8412927684506142269,0,0.0,51,7
0,0,0,0,100.0,18.74,0,180,30.89,88.00000000000001,5211.2,0,0,80,0,0,0,5000,8011,0.273,1,32,225.33,39.88,0,0.0,0.0,0.12,1.66,1.0,1.88,3.58,-1.0,0.65,1.0,4.12,108.57,-0.12,18.97,48,3,8412927684506142269,0,0.0,52,2
0,0,0,0,100.0,18.48,0,180,31.41,87.00000000000004,5298.2,0,0,79,0,0,0,5000,8013,0.274,1,32,229.33,40.88,0,0.0,0.0,0.12,1.7,1.0,1.88,3.58,-1.0,0.66,1.0,4.12,110.38,-0.08,17.97,48,3,8412927684506142269,0,0.0,53,1
0,0,0,0,100.0,17.85,0,183,31.34,60.32946936510532,5392.2,1,0,78,0,0,0,5000,8009,0.278,1,33,233.33,41.04,0,0.0,0.0,0.12,1.58,1.0,1.87,3.63,-1.0,0.64,1.0,4.14,110.04,-0.18,15.97,49,3,8412927684506142269,0,0.0,54,2
0,0,0,0,100.0,18.13,0,183,32.44,96.76971172727576,5484.2,0,0,77,0,0,0,5000,8006,0.279,1,32,237.33,42.04,0,0.0,0.0,0.12,1.66,1.0,1.87,3.63,-1.0,0.65,1.0,4.14,111.92,-0.11,13.97,49,3,8412927684506142269,0,0.0,55,7
0,0,0,0,100.0,17.44,0,186,32.11,47.338234945298325,5582.2,1,0,76,0,0,0,5000,7994,0.288,1,32,241.33,42.2,0,0.0,0.0,0.14,1.66,1.0,1.86,3.64,-1.0,0.64,1.06,4.18,111.64,-0.12,11.97,50,3,8412927684506142269,0,0.0,56,3
0,0,0,0,100.0,17.13,0,186,32.67,94.46255016452955,5677.2,0,0,75,0,0,0,5000,7992,0.288,1,33,244.33,43.2,0,0.0,0.0,0.14,1.69,1.0,1.86,3.64,-1.0,0.67,1.0,4.18,113.54,-0.12,9.97,50,3,8412927684506142269,0,0.0,57,5
0,1,1,0,100.0,16.87,0,181,33.67,90.0838828244556,5702.93,0,0,74,0,0,0,5000,8007,0.288,1,33,248.33,43.92,57.0,-0.02,2.04,0.14,1.7,1.0,1.85,3.63,-1.0,0.68,1.08,4.2,116.39,-0.1,7.97,49,3,8412927684506142269,0,0.0,58,1
0,1,1,0,100.0,16.14,0,180,33.39,65.38829296177488,5669.16,1,0,73,0,0,0,5000,8011,0.296,1,32,252.33,43.73,58.0,-0.02,2.04,0.12,1.62,1.0,1.84,3.73,-1.0,0.67,1.0,4.22,115.7,-0.14,5.97,49,3,8412927684506142269,0,0.0,59,2
0,1,1,0,100.0,15.05,0,178,33.23,88.00000000000003,5623.48,0,0,72,0,0,0,5000,8016,0.299,1,31,256.33,45.31,16.0,-0.02,2.08,0.1,1.62,1.0,1.85,3.75,-1.0,0.7,0,4.19,117.16,-0.17,4.97,48,3,8412927684506142269,0,0.0,60,0
1,0,2,0,100.0,15.68,1,173,34.28,39.02306206708923,5712.51,1,0,71,0,0,0,5000,8008,0.297,1,31,260.33,44.72,60.5,0.0,4.26,0.11,1.61,1.0,1.84,3.85,-1.0,0.69,1.35,4.26,121.54,-0.19,16.5,47,3,8412927684506142269,0,0.0,61,3
0,0,0,0,100.0,15.4,0,173,34.84,91.0,5803.51,0,0,70,0,0,0,5000,8014,0.296,1,28,264.33,45.72,0,0.0,0.0,0.11,1.65,1.0,1.84,3.85,-1.0,0.73,1.0,4.26,123.48,-0.19,15.5,47,3,8412927684506142269,0,0.0,62,1
0,0,0,0,100.0,14.97,0,176,34.76,39.375,5902.51,1,0,69,0,0,0,5000,8010,0.3,1,29,268.33,45.77,0,0.0,0.0,0.1,1.59,1.0,1.83,3.9,-1.0,0.7,1.0,4.27,122.97,-0.22,13.5,48,3,8412927684506142269,0,0.0,63,2
